mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_C,param_gamma,param_kernel,params,split0_test_f1,split1_test_f1,split2_test_f1,split3_test_f1,split4_test_f1,split5_test_f1,split6_test_f1,split7_test_f1,split8_test_f1,split9_test_f1,mean_test_f1,std_test_f1,rank_test_f1,split0_train_f1,split1_train_f1,split2_train_f1,split3_train_f1,split4_train_f1,split5_train_f1,split6_train_f1,split7_train_f1,split8_train_f1,split9_train_f1,mean_train_f1,std_train_f1,split0_test_roc_auc,split1_test_roc_auc,split2_test_roc_auc,split3_test_roc_auc,split4_test_roc_auc,split5_test_roc_auc,split6_test_roc_auc,split7_test_roc_auc,split8_test_roc_auc,split9_test_roc_auc,mean_test_roc_auc,std_test_roc_auc,rank_test_roc_auc,split0_train_roc_auc,split1_train_roc_auc,split2_train_roc_auc,split3_train_roc_auc,split4_train_roc_auc,split5_train_roc_auc,split6_train_roc_auc,split7_train_roc_auc,split8_train_roc_auc,split9_train_roc_auc,mean_train_roc_auc,std_train_roc_auc,split0_test_accuracy,split1_test_accuracy,split2_test_accuracy,split3_test_accuracy,split4_test_accuracy,split5_test_accuracy,split6_test_accuracy,split7_test_accuracy,split8_test_accuracy,split9_test_accuracy,mean_test_accuracy,std_test_accuracy,rank_test_accuracy,split0_train_accuracy,split1_train_accuracy,split2_train_accuracy,split3_train_accuracy,split4_train_accuracy,split5_train_accuracy,split6_train_accuracy,split7_train_accuracy,split8_train_accuracy,split9_train_accuracy,mean_train_accuracy,std_train_accuracy,split0_test_recall,split1_test_recall,split2_test_recall,split3_test_recall,split4_test_recall,split5_test_recall,split6_test_recall,split7_test_recall,split8_test_recall,split9_test_recall,mean_test_recall,std_test_recall,rank_test_recall,split0_train_recall,split1_train_recall,split2_train_recall,split3_train_recall,split4_train_recall,split5_train_recall,split6_train_recall,split7_train_recall,split8_train_recall,split9_train_recall,mean_train_recall,std_train_recall
2.516173553466797,0.0835636777907619,0.3818120241165161,0.015638416772061813,1.0,0.01,sigmoid,"{'C': 1.0, 'gamma': 0.01, 'kernel': 'sigmoid'}",0.7624999999999998,0.735868448098664,0.7515400410677618,0.7559709241952233,0.7807377049180328,0.7612244897959184,0.7618069815195072,0.7476828012358394,0.7637130801687764,0.7544409613375131,0.7575485432337237,0.011169198604643122,1,0.7612918055395932,0.7635863334097684,0.764265129682997,0.7625172255397336,0.7597148769832145,0.7506549720924935,0.7500570125427594,0.7523082183973556,0.7502855837331506,0.7631729996556079,0.7577854157576673,0.005830005373834995,0.8611684591255361,0.8429597977082133,0.8349057358683823,0.8482891620254783,0.8636412736896432,0.8345075634824426,0.8458457857740116,0.8422250761149186,0.8481022280366952,0.8420570431804634,0.8463702125005785,0.009185902822971865,1,0.8489674124468454,0.8507815804723228,0.8535535347751841,0.8514402900693108,0.8488376015799256,0.8389822316660714,0.8375977766132947,0.8381450090343484,0.8375482841603751,0.8516955684645352,0.8457549289282215,0.006412420686235021,0.772,0.743,0.758,0.765,0.786,0.766,0.768,0.755,0.776,0.765,0.7654,0.011191067866830235,1,0.7692222222222223,0.7708888888888888,0.7727777777777778,0.7702222222222223,0.7677777777777778,0.7567777777777778,0.7564444444444445,0.7585555555555555,0.7571111111111111,0.7707777777777778,0.7650555555555557,0.006526158191519787,0.7439024390243902,0.7276422764227642,0.7439024390243902,0.7398373983739838,0.7728194726166329,0.7565922920892495,0.7525354969574036,0.7363083164300203,0.7342799188640974,0.7322515212981744,0.7440071571101107,0.012800672452961171,1,0.7469553450608931,0.7510148849797023,0.7476319350473613,0.7487595850248083,0.7453191969321001,0.7432889690954207,0.7419354838709677,0.7444168734491315,0.740807579517257,0.7498308143469434,0.7459960667324586,0.003237533842285881
3.848780608177185,0.05487553412040196,0.6272370100021363,0.007719205350915511,0.01,0.01,sigmoid,"{'C': 0.01, 'gamma': 0.01, 'kernel': 'sigmoid'}",0.7523709167544784,0.7350785340314137,0.7455121436114045,0.7363927427961581,0.7600849256900212,0.7403545359749739,0.7491995731056562,0.7642105263157896,0.7470651013874067,0.7313915857605179,0.7461660585427821,0.01019208408374551,2,0.7461701626207873,0.7500882041632364,0.7474676089517079,0.7485915492957746,0.7446632857648307,0.7492070950311288,0.7474771180474067,0.7452274334197502,0.7480629255693824,0.7507317644303946,0.74776871472944,0.0018927522633891986,0.8518860828372063,0.8254913257793997,0.8325611356507265,0.8347496959221561,0.8509987957639698,0.8348996403295048,0.8480982272525415,0.8438253897763961,0.8504346851982989,0.8326872066925117,0.840563218520271,0.009061305133920465,2,0.8403227874598606,0.8432253871499469,0.8424901672675862,0.841784287029842,0.8400477518201442,0.8421571577027619,0.8403315184289495,0.8413804423113845,0.8403564622300717,0.8419475309860047,0.8414043492386553,0.0010373541677369859,0.765,0.747,0.759,0.753,0.774,0.751,0.765,0.776,0.763,0.751,0.7604,0.009436100889668368,2,0.7606666666666667,0.7638888888888888,0.7617777777777778,0.762,0.7594444444444445,0.7627777777777778,0.7608888888888888,0.7597777777777778,0.7615555555555555,0.7634444444444445,0.7616222222222222,0.0013985883535608421,0.725609756097561,0.7134146341463414,0.717479674796748,0.7012195121951219,0.7261663286004056,0.7200811359026369,0.7119675456389453,0.7363083164300203,0.7099391480730223,0.6876267748478702,0.7149812826728673,0.0130375537569645,2,0.7140279657194407,0.7192151556156969,0.7156066756878665,0.7192151556156969,0.7121588089330024,0.7193773967967516,0.718475073313783,0.7132867132867133,0.7187006541845251,0.7232122715993684,0.7173275870752844,0.0032565789617376795
5.0573670864105225,0.13686293515670309,0.8694046974182129,0.013777745818890958,0.001,0.5,sigmoid,"{'C': 0.001, 'gamma': 0.5, 'kernel': 'sigmoid'}",0.7133620689655173,0.7328405491024287,0.7023554603854391,0.7089151450053706,0.713375796178344,0.6964856230031949,0.6988210075026795,0.7220447284345048,0.7141339001062699,0.6909090909090909,0.7093243369592839,0.011973623359839765,3,0.7081575246132207,0.7087332053742803,0.7093678781336211,0.707567438529482,0.7090823084200568,0.7128454513106394,0.7095170454545455,0.710349784379492,0.7090824188652814,0.7098816082522563,0.7094584663332876,0.0013614017541331276,0.7988405031688113,0.7907864413289802,0.7924548684463222,0.7932110620318802,0.8011370228564799,0.7779244731967466,0.7897988005649107,0.8075862869122348,0.8005209020968109,0.784301723137735,0.7936562083740911,0.008268984353225902,7,0.79211167597336,0.7956200849921099,0.7945995197781803,0.7930399744261037,0.7925167707547613,0.7956255586732288,0.7931056914295718,0.7921448858465464,0.7928744796809524,0.7930024586684921,0.7934641100223307,0.001262745676243924,0.734,0.747,0.722,0.729,0.73,0.715,0.719,0.739,0.731,0.711,0.7276999999999999,0.010517128885774872,3,0.7233333333333334,0.7302222222222222,0.7307777777777777,0.7277777777777777,0.7266666666666667,0.731,0.7273333333333334,0.7313333333333333,0.7231111111111111,0.725,0.7276555555555555,0.002975392909005938,0.6727642276422764,0.7052845528455285,0.6666666666666666,0.6707317073170732,0.6815415821501014,0.6632860040567952,0.6612576064908722,0.6876267748478702,0.6815415821501014,0.6551724137931034,0.6745873117960388,0.014043990752790904,6,0.6813261163734776,0.6662156066756879,0.666892196662156,0.6684709066305818,0.6762914504849988,0.677870516580194,0.6760658696142567,0.6688472817505076,0.6850891044439431,0.6830588766072637,0.6750127925823067,0.006642171809533492
5.421447539329529,0.22704876494811346,0.8496791362762451,0.013087707906292781,0.001,1,sigmoid,"{'C': 0.001, 'gamma': 1, 'kernel': 'sigmoid'}",0.7039827771797632,0.7338282078472959,0.6994652406417112,0.7060085836909871,0.7103594080338266,0.6879659211927582,0.692390139335477,0.7145922746781117,0.7178947368421054,0.6886291179596173,0.7055116407401654,0.01365766005386534,4,0.7040112267571045,0.7025919228450874,0.7045779685264663,0.7016283524904214,0.7034157832744405,0.7080818838007337,0.7022358925825151,0.7040595724237328,0.7034965034965035,0.7066651103069919,0.7040764216503999,0.001880377468268459,0.7942793355098905,0.7885058574995198,0.7885538697906664,0.7896141412201522,0.7963960936343524,0.773419590239687,0.7856259826926077,0.8045016823297366,0.796152045800977,0.7800368872298971,0.7897085485947487,0.008392246526326603,8,0.7880289705775722,0.7920523545706918,0.7906596599248708,0.7882501539590442,0.7883004780664711,0.7917391662774034,0.7888702833926988,0.7882396250704662,0.7888848545240474,0.7884232707191239,0.789344881708239,0.0014601474992445734,0.725,0.749,0.719,0.726,0.726,0.707,0.713,0.734,0.732,0.707,0.7238,0.01233531515608743,4,0.7187777777777777,0.7258888888888889,0.7246666666666667,0.7231111111111111,0.7202222222222222,0.7258888888888889,0.7203333333333334,0.7262222222222222,0.7173333333333334,0.7207777777777777,0.7223222222222223,0.003081786398731657,0.6646341463414634,0.7032520325203252,0.6646341463414634,0.6686991869918699,0.6815415821501014,0.6551724137931034,0.6551724137931034,0.6754563894523327,0.691683569979716,0.6572008113590264,0.6717446692722506,0.015398789596103414,7,0.6788452864230943,0.6571944068561119,0.6664411366711772,0.6608028867839423,0.673584480036093,0.674937965260546,0.6695240243627341,0.6611775321452741,0.6808030678998421,0.6828332957365215,0.6706144082175335,0.008558001975963412
1.842682409286499,0.1394845671177474,0.27767090797424315,0.020686682172913015,10.0,0.01,sigmoid,"{'C': 10.0, 'gamma': 0.01, 'kernel': 'sigmoid'}",0.7099391480730224,0.6935483870967742,0.6947791164658634,0.7054026503567787,0.725609756097561,0.7052845528455285,0.7178464606181455,0.6958290946083417,0.7066115702479339,0.6980942828485457,0.7052945019258495,0.009917469719321304,5,0.7131590806669671,0.7058956149250366,0.700632625395391,0.7028184892897407,0.7012781359574708,0.7042094571718767,0.7015600271309066,0.7048736462093863,0.7026295000564271,0.7137538079657001,0.7050810384768902,0.004468948795971168,0.7780311759810512,0.7533248511618974,0.7432782792394853,0.7567217207605148,0.7828294345691755,0.7693307888346117,0.7652019795879992,0.7624734447951799,0.7819092542138258,0.7676984688999045,0.7660799398043645,0.012128867904343551,9,0.7783827968129835,0.7642763549531939,0.7647127945152054,0.7636366617925319,0.7609832125254827,0.7634688499588873,0.7645224662395531,0.7641609046074461,0.7612356635503051,0.7799335862651232,0.7665313291220712,0.006439780673494715,0.714,0.696,0.696,0.711,0.73,0.71,0.717,0.701,0.716,0.699,0.709,0.010421132376090433,5,0.7171111111111111,0.7101111111111111,0.7055555555555556,0.7071111111111111,0.7065555555555556,0.7087777777777777,0.7066666666666667,0.7093333333333334,0.7072222222222222,0.7181111111111111,0.7096555555555555,0.004194190573626964,0.7113821138211383,0.6991869918699187,0.7032520325203252,0.7032520325203252,0.7241379310344828,0.7038539553752535,0.7302231237322515,0.6937119675456389,0.6937119675456389,0.7058823529411765,0.706859446890615,0.011425653097505631,3,0.7138024357239513,0.7061344158773116,0.6993685160126297,0.70297699594046,0.6993006993006993,0.7038123167155426,0.6999774419129258,0.7047146401985112,0.7022332506203474,0.7135122941574554,0.7045833006459834,0.005021491230879164
1.7244272470474242,0.2893754375997577,0.23563084602355958,0.006060399588646773,100.0,0.01,sigmoid,"{'C': 100.0, 'gamma': 0.01, 'kernel': 'sigmoid'}",0.7073170731707317,0.6915322580645162,0.6863543788187373,0.6994871794871794,0.7263581488933601,0.7045685279187818,0.7015810276679842,0.6814516129032259,0.7061266874350988,0.6907630522088354,0.699553994656845,0.01222596517312027,6,0.7016238159675237,0.7038123167155426,0.7072758037225042,0.7041713641488163,0.7011934249043009,0.7063474135983736,0.6858691968824128,0.6896084847117229,0.7053379979686266,0.7064530685920578,0.7011692887211882,0.007023882119340041,0.7673404391524231,0.7360404263491453,0.7343159848921323,0.755213334613661,0.7743957815731882,0.77097511112178,0.7469424007105393,0.7450580313741493,0.7766322199151032,0.7605330644806382,0.756744679418276,0.014842246147630135,10,0.7548460300892379,0.7576851593360032,0.7616581621211951,0.7593605320729733,0.754604712126061,0.7729168209189681,0.7461535053375536,0.7477956965373708,0.7697488593891259,0.7723010300900777,0.7597070508018566,0.009039920097379597,0.712,0.694,0.692,0.707,0.728,0.709,0.698,0.684,0.717,0.692,0.7032999999999999,0.012892245731446475,6,0.706,0.7082222222222222,0.7116666666666667,0.7084444444444444,0.7051111111111111,0.7111111111111111,0.691,0.6943333333333334,0.7098888888888889,0.7108888888888889,0.7056666666666667,0.006848087053790746,0.7073170731707317,0.6971544715447154,0.6849593495934959,0.693089430894309,0.7322515212981744,0.7038539553752535,0.7200811359026369,0.6855983772819473,0.6896551724137931,0.6977687626774848,0.7011729250152542,0.01448972885525766,4,0.7016238159675237,0.7036535859269283,0.7070365358592693,0.7043301759133965,0.7024588314910896,0.7053913828107377,0.684863523573201,0.6893751409880442,0.7049402210692534,0.7062937062937062,0.7009966919893149,0.007179447828537596
1.5358067989349364,0.25383051426487874,0.22303471565246583,0.01634526323593661,1000.0,0.01,sigmoid,"{'C': 1000.0, 'gamma': 0.01, 'kernel': 'sigmoid'}",0.709349593495935,0.6882591093117408,0.6673490276356193,0.6945010183299389,0.707193515704154,0.7057633973710818,0.6995073891625615,0.6780684104627765,0.7074688796680497,0.6894472361809044,0.6946907577322763,0.013315604995992422,7,0.7016238159675237,0.7040126239855726,0.6877256317689531,0.6851663846587704,0.7021540543588586,0.7064530685920578,0.6859205776173284,0.6886281588447654,0.7063599458728012,0.7068771138669673,0.6974921375533598,0.008877584162173118,0.7664162025478524,0.7354402727098137,0.7234972152871135,0.7378408872671404,0.7883745214061956,0.7703149817364203,0.7454341050845965,0.7428816047945398,0.7769282779424767,0.7593568339394522,0.7546484902715601,0.019710753876754326,11,0.7541535848402748,0.7576006473293713,0.7450234233102192,0.743239237042793,0.7665841084475467,0.7721063696539939,0.7446387004012889,0.74565833384003,0.7701570980352138,0.7711007640162799,0.7570262266917012,0.011465977485215328,0.714,0.692,0.675,0.7,0.711,0.709,0.695,0.68,0.718,0.691,0.6984999999999999,0.013764083696345332,7,0.706,0.7082222222222222,0.6924444444444444,0.6898888888888889,0.7065555555555556,0.7108888888888889,0.6906666666666667,0.6933333333333334,0.7106666666666667,0.7111111111111111,0.7019777777777778,0.0086841419258125,0.709349593495935,0.6910569105691057,0.6626016260162602,0.693089430894309,0.7079107505070994,0.7079107505070994,0.7200811359026369,0.6835699797160243,0.691683569979716,0.6957403651115619,0.6962994112699747,0.015370457215453149,5,0.7016238159675237,0.7043301759133965,0.6874154262516915,0.684934596301308,0.7022332506203474,0.7062937062937062,0.6857658470561696,0.6884728175050756,0.7065192871644485,0.707196029776675,0.6974784952850343,0.00904165012437594
3.5955061435699465,0.436010742848458,0.5577510833740235,0.02992617596647816,0.01,0.5,sigmoid,"{'C': 0.01, 'gamma': 0.5, 'kernel': 'sigmoid'}",0.5590717299578059,0.5856697819314641,0.5937183383991894,0.59358841778697,0.577731092436975,0.5717255717255717,0.5650319829424306,0.5863874345549739,0.5702393340270552,0.5769622833843017,0.5780125967146736,0.01116437362511971,8,0.5749277874061236,0.5802725802725803,0.5763063790517937,0.5733701912001843,0.574985590778098,0.5780692670578759,0.5790686952512679,0.5750230840258541,0.5762086073612553,0.5755163262951425,0.5763748508700175,0.0020240755323720754,0.6452171755969528,0.6522789834197555,0.6399438256193586,0.6640139875808206,0.6549483698804965,0.6388892222875684,0.6517157362843118,0.6730519181759624,0.6430940464331008,0.6543242475525203,0.6517477512830848,0.010216178641318942,12,0.65046871317109,0.652282634229862,0.6511200631602532,0.6491339569143861,0.6485276662070916,0.6530422472418701,0.6513322879328657,0.64686033363149,0.6516573970397684,0.6494954856906304,0.6503920785219307,0.0017875809983159752,0.582,0.601,0.599,0.607,0.598,0.588,0.592,0.605,0.587,0.585,0.5944,0.008321057625085894,8,0.5912222222222222,0.5962222222222222,0.5918888888888889,0.5884444444444444,0.5903333333333334,0.5925555555555555,0.5942222222222222,0.5908888888888889,0.5918888888888889,0.5912222222222222,0.5918888888888889,0.0020208786745581535,0.5386178861788617,0.573170731707317,0.5955284552845529,0.5833333333333334,0.5578093306288032,0.5578093306288032,0.537525354969574,0.5679513184584178,0.5557809330628803,0.5740365111561866,0.5641563185408731,0.017485376966772506,16,0.5611186287776274,0.566531348669373,0.5633739287325215,0.5613441587731168,0.5625986916309497,0.5666591473043086,0.5666591473043086,0.5619219490187232,0.5632754342431762,0.5625986916309497,0.5636081126085055,0.002086443799013414
3.1525301933288574,1.0503251681078878,0.4485348701477051,0.009827982026055344,1.0,0.5,sigmoid,"{'C': 1.0, 'gamma': 0.5, 'kernel': 'sigmoid'}",0.555440414507772,0.573170731707317,0.5855130784708249,0.6008064516129032,0.5743589743589744,0.5674044265593562,0.564901349948079,0.5729058945191313,0.5717131474103587,0.5728542914171657,0.5739068760511883,0.011534085559297216,9,0.5708164185836716,0.5746167718665465,0.5713319048156085,0.5714608009024251,0.57149300857014,0.5760379061371842,0.5743311886217405,0.5725888324873097,0.5732340329496728,0.5740072202166063,0.5729918085150906,0.0016444836939457767,0.630893508738237,0.6387195121951219,0.6248719672236093,0.651778855386979,0.6432180707418654,0.6233141695772372,0.6398854175418381,0.6596692951818556,0.6274549811763106,0.6394133250117022,0.6379219102774757,0.011146169638927348,14,0.6371776071929349,0.638117266114133,0.6375192115400231,0.6363513553829161,0.6345844765291426,0.6402266161619729,0.6377944720684008,0.6325610650183144,0.6367875328017158,0.6361454645427325,0.6367265067352286,0.001964145386185205,0.571,0.58,0.588,0.604,0.585,0.57,0.581,0.587,0.57,0.572,0.5808,0.010264501936285081,10,0.5771111111111111,0.5806666666666667,0.5776666666666667,0.5778888888888889,0.5777777777777777,0.5824444444444444,0.581,0.579,0.5797777777777777,0.5804444444444444,0.5793777777777778,0.0016727297125830004,0.5447154471544715,0.573170731707317,0.5914634146341463,0.6056910569105691,0.5679513184584178,0.5720081135902637,0.5517241379310345,0.5618661257606491,0.5821501014198783,0.5821501014198783,0.5732890548986626,0.017260821625365998,9,0.5708164185836716,0.5748759585024809,0.5712674785746504,0.5712674785746504,0.5716219264606361,0.5759079630047372,0.5738777351680577,0.5725242499436047,0.5729754116850891,0.5738777351680577,0.5729012355665637,0.0016222232034751433
3.3773948907852174,1.1003526781063862,0.4532602071762085,0.021641209000562066,10.0,0.5,sigmoid,"{'C': 10.0, 'gamma': 0.5, 'kernel': 'sigmoid'}",0.553941908713693,0.573170731707317,0.5861027190332327,0.6022155085599195,0.5728952772073923,0.5668341708542712,0.564901349948079,0.5743801652892562,0.5711442786069653,0.5728542914171657,0.5738440401337291,0.012207905141688489,10,0.5708807939551144,0.5748111399255835,0.5708807939551144,0.572169598556608,0.5711707647191518,0.5761335438754793,0.5743936830231247,0.5728144388042865,0.5731046931407943,0.5746192893401015,0.5730978739295358,0.001750174640629097,0.6307334677677485,0.6384514435695537,0.6247599385442673,0.6514227642276422,0.6430500378074102,0.6232421554624706,0.6395253469680057,0.6596012818512429,0.6274829866653864,0.6393693163860117,0.6377638739249739,0.011102432520368943,15,0.6371152234031182,0.637813546459673,0.6373971605941506,0.6359471696726466,0.6345247595874464,0.6401151346587398,0.6372795924983073,0.6323862114421315,0.6367732580323608,0.6363143908790447,0.6365666447227619,0.0019437315194693852,0.57,0.58,0.589,0.605,0.584,0.569,0.581,0.588,0.569,0.572,0.5807,0.010900000000000009,11,0.5772222222222222,0.581,0.5772222222222222,0.5784444444444444,0.5775555555555556,0.5824444444444444,0.5807777777777777,0.5792222222222222,0.5795555555555556,0.581,0.5794444444444444,0.001735611039090359,0.5426829268292683,0.573170731707317,0.5914634146341463,0.6077235772357723,0.565922920892495,0.5720081135902637,0.5517241379310345,0.563894523326572,0.5821501014198783,0.5821501014198783,0.5732890548986627,0.017941662841475525,8,0.5708164185836716,0.5748759585024809,0.5708164185836716,0.572169598556608,0.5711707647191518,0.5761335438754793,0.574328896909542,0.5727498308143469,0.5729754116850891,0.5745544777802842,0.5730591320010326,0.001764104102164833
