mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_C,param_penalty,param_solver,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,split5_test_score,split6_test_score,split7_test_score,split8_test_score,split9_test_score,mean_test_score,std_test_score,rank_test_score,split0_train_score,split1_train_score,split2_train_score,split3_train_score,split4_train_score,split5_train_score,split6_train_score,split7_train_score,split8_train_score,split9_train_score,mean_train_score,std_train_score
0.34797189235687254,0.04209006105412101,0.0009273529052734375,0.00016038317692096654,0.1,l2,liblinear,"{'C': 0.1, 'penalty': 'l2', 'solver': 'liblinear'}",0.7405908539053015,0.7942128692836908,0.7539457709429381,0.7555645487656819,0.7640153815017203,0.7937664440396681,0.7364905889496054,0.7723132969034608,0.7623962760574783,0.8075288403157256,0.768082487066527,0.0225291696318991,1,0.7790519877675841,0.7730931822270193,0.7779726569526894,0.776870840079151,0.7768758572617094,0.7727160299507566,0.7780226204663504,0.7758415218222292,0.776695972837452,0.7714793245339869,0.7758619993898928,0.002425120493537971
0.3517162561416626,0.031117773568543606,0.0008619785308837891,0.0002122736143734334,10.0,l2,liblinear,"{'C': 10.0, 'penalty': 'l2', 'solver': 'liblinear'}",0.7405908539053015,0.7942128692836908,0.7541481181707811,0.7557668959935249,0.7640153815017203,0.7935640558591378,0.7364905889496054,0.7721109087229305,0.7623962760574783,0.8075288403157256,0.7680824788759896,0.022478662932802505,2,0.7789845295916532,0.7731156682856629,0.7778152545421838,0.7767134376686454,0.7768533717086772,0.7727385155037888,0.7780675915724147,0.7758640073752614,0.7767184583904841,0.7715018100870191,0.7758372644725792,0.0023911283614958005
0.11579329967498779,0.0192113383663503,0.0009116649627685547,0.00023387894819420577,0.1,l1,liblinear,"{'C': 0.1, 'penalty': 'l1', 'solver': 'liblinear'}",0.7405908539053015,0.7940105220558479,0.754350465398624,0.7555645487656819,0.7642177696822505,0.7937664440396681,0.7362882007690751,0.7721109087229305,0.7623962760574783,0.8073264521351953,0.7680622441532053,0.022466517957462514,3,0.7790070156502968,0.7731381543443065,0.7779276848354021,0.7768258679618636,0.776965799473838,0.7727385155037888,0.7780451060193826,0.775819036269197,0.7767409439435163,0.7713893823218582,0.775859750632345,0.0024295201396250595
0.45342090129852297,0.03818837678609106,0.0009640693664550781,0.0001708192900150549,1.0,l2,liblinear,"{'C': 1.0, 'penalty': 'l2', 'solver': 'liblinear'}",0.7405908539053015,0.7942128692836908,0.7541481181707811,0.7555645487656819,0.7640153815017203,0.7935640558591378,0.7364905889496054,0.7721109087229305,0.7623962760574783,0.8075288403157256,0.7680622441532053,0.022489828302006045,3,0.7789845295916532,0.7731381543443065,0.7778377406008274,0.77680338190322,0.776830886155645,0.7727385155037888,0.7780675915724147,0.7758864929282936,0.7767184583904841,0.7715018100870191,0.7758507561077653,0.0023929671891929133
0.34734234809875486,0.03945540314265489,0.0008262157440185547,8.468802445993409e-05,0.1,none,saga,"{'C': 0.1, 'penalty': 'none', 'solver': 'saga'}",0.7405908539053015,0.7942128692836908,0.7539457709429381,0.7557668959935249,0.7640153815017203,0.7935640558591378,0.7364905889496054,0.7719085205424003,0.7623962760574783,0.8075288403157256,0.7680420053351523,0.022487723188694186,5,0.7788945853570786,0.7730931822270193,0.7778152545421838,0.7767359237272891,0.776830886155645,0.7727385155037888,0.7780675915724147,0.7757965507161648,0.7767184583904841,0.7715018100870191,0.7758192758279089,0.002381852406687642
0.578442907333374,0.05506156381329644,0.0007462501525878906,4.2424306743964504e-05,0.1,none,sag,"{'C': 0.1, 'penalty': 'none', 'solver': 'sag'}",0.7405908539053015,0.7942128692836908,0.7539457709429381,0.7557668959935249,0.7640153815017203,0.7935640558591378,0.7364905889496054,0.7719085205424003,0.7623962760574783,0.8075288403157256,0.7680420053351523,0.022487723188694186,5,0.7789170714157223,0.7731381543443065,0.7778152545421838,0.7767584097859327,0.776830886155645,0.7727385155037888,0.7780451060193826,0.7757965507161648,0.7767184583904841,0.7715018100870191,0.7758260216960631,0.0023784136366856268
0.4123679161071777,0.09800586334229662,0.0008958816528320312,0.0003195643885246702,0.1,l2,saga,"{'C': 0.1, 'penalty': 'l2', 'solver': 'saga'}",0.7405908539053015,0.7942128692836908,0.7539457709429381,0.7557668959935249,0.7640153815017203,0.7935640558591378,0.7364905889496054,0.7719085205424003,0.7623962760574783,0.8075288403157256,0.7680420053351523,0.022487723188694186,5,0.7789170714157223,0.7730931822270193,0.7778152545421838,0.7767584097859327,0.776830886155645,0.7727385155037888,0.7780675915724147,0.7757965507161648,0.7767184583904841,0.7715018100870191,0.7758237730396376,0.002385635023356542
0.6928148984909057,0.1445783615220524,0.00081634521484375,0.0001096672077538151,0.1,l2,sag,"{'C': 0.1, 'penalty': 'l2', 'solver': 'sag'}",0.7405908539053015,0.7942128692836908,0.7539457709429381,0.7557668959935249,0.7640153815017203,0.7935640558591378,0.7364905889496054,0.7719085205424003,0.7623962760574783,0.8075288403157256,0.7680420053351523,0.022487723188694186,5,0.7789170714157223,0.7730931822270193,0.7778152545421838,0.7767134376686454,0.776830886155645,0.7727385155037888,0.7780900771254469,0.7757965507161648,0.7767184583904841,0.7715242956400513,0.7758237729385152,0.002381975161463794
0.5132428884506226,0.03244770748014492,0.0007244825363159179,4.8105880420631407e-05,10.0,none,sag,"{'C': 10.0, 'penalty': 'none', 'solver': 'sag'}",0.7405908539053015,0.7942128692836908,0.7539457709429381,0.7557668959935249,0.7640153815017203,0.7935640558591378,0.7364905889496054,0.7719085205424003,0.7623962760574783,0.8075288403157256,0.7680420053351523,0.022487723188694186,5,0.7789170714157223,0.7731156682856629,0.7778152545421838,0.7767584097859327,0.7768533717086772,0.7727385155037888,0.7780675915724147,0.7757965507161648,0.7767184583904841,0.7715242956400513,0.7758305187561083,0.0023799523841642706
0.4263859510421753,0.143954687930212,0.0007798433303833008,0.00011215897471332762,0.1,l2,newton-cg,"{'C': 0.1, 'penalty': 'l2', 'solver': 'newton-cg'}",0.7405908539053015,0.7942128692836908,0.7539457709429381,0.7557668959935249,0.7640153815017203,0.7935640558591378,0.7364905889496054,0.7719085205424003,0.7623962760574783,0.8075288403157256,0.7680420053351523,0.022487723188694186,5,0.7789170714157223,0.7731156682856629,0.7778152545421838,0.7767134376686454,0.776830886155645,0.7727385155037888,0.7780675915724147,0.7757965507161648,0.7767184583904841,0.7715018100870191,0.7758215244337732,0.0023813474454916824
