mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_max_depth,param_min_samples_leaf,param_min_samples_split,params,split0_test_f1,split1_test_f1,split2_test_f1,split3_test_f1,split4_test_f1,split5_test_f1,split6_test_f1,split7_test_f1,split8_test_f1,split9_test_f1,mean_test_f1,std_test_f1,rank_test_f1,split0_train_f1,split1_train_f1,split2_train_f1,split3_train_f1,split4_train_f1,split5_train_f1,split6_train_f1,split7_train_f1,split8_train_f1,split9_train_f1,mean_train_f1,std_train_f1,split0_test_roc_auc,split1_test_roc_auc,split2_test_roc_auc,split3_test_roc_auc,split4_test_roc_auc,split5_test_roc_auc,split6_test_roc_auc,split7_test_roc_auc,split8_test_roc_auc,split9_test_roc_auc,mean_test_roc_auc,std_test_roc_auc,rank_test_roc_auc,split0_train_roc_auc,split1_train_roc_auc,split2_train_roc_auc,split3_train_roc_auc,split4_train_roc_auc,split5_train_roc_auc,split6_train_roc_auc,split7_train_roc_auc,split8_train_roc_auc,split9_train_roc_auc,mean_train_roc_auc,std_train_roc_auc,split0_test_accuracy,split1_test_accuracy,split2_test_accuracy,split3_test_accuracy,split4_test_accuracy,split5_test_accuracy,split6_test_accuracy,split7_test_accuracy,split8_test_accuracy,split9_test_accuracy,mean_test_accuracy,std_test_accuracy,rank_test_accuracy,split0_train_accuracy,split1_train_accuracy,split2_train_accuracy,split3_train_accuracy,split4_train_accuracy,split5_train_accuracy,split6_train_accuracy,split7_train_accuracy,split8_train_accuracy,split9_train_accuracy,mean_train_accuracy,std_train_accuracy,split0_test_recall,split1_test_recall,split2_test_recall,split3_test_recall,split4_test_recall,split5_test_recall,split6_test_recall,split7_test_recall,split8_test_recall,split9_test_recall,mean_test_recall,std_test_recall,rank_test_recall,split0_train_recall,split1_train_recall,split2_train_recall,split3_train_recall,split4_train_recall,split5_train_recall,split6_train_recall,split7_train_recall,split8_train_recall,split9_train_recall,mean_train_recall,std_train_recall
0.1825840950012207,0.012589696251592746,0.0033339262008666992,7.600941725193138e-05,10,3,8,"{'max_depth': 10, 'min_samples_leaf': 3, 'min_samples_split': 8}",0.7791666666666668,0.7372627372627374,0.7186234817813765,0.7325102880658436,0.7112024665981501,0.7456230690010299,0.7195876288659795,0.7097457627118644,0.7300613496932516,0.7465825446898002,0.73303659953367,0.019760287217718754,1,0.8712060929862454,0.8733408323959504,0.8744765138653083,0.8694952282396228,0.8667904386168483,0.8721838559945658,0.8711281935338006,0.8724710161400319,0.8626219580576427,0.8734674994216979,0.8707181629251715,0.0034155602800807253,0.8329732411497344,0.7800336886242878,0.7782112220728507,0.775866621855195,0.7594608543274483,0.7875183535973052,0.7747438497945598,0.7538717588647375,0.7910210401238642,0.7962460642285888,0.7829946694638571,0.020762614662230252,12,0.9431798020354404,0.9458236547081438,0.9475458276358114,0.9489824823552168,0.9453291892706488,0.9480065976106999,0.9440194915307397,0.9469562413119629,0.9422210434698338,0.952172039520267,0.9464236369448764,0.002813583697625853,0.788,0.737,0.722,0.74,0.719,0.753,0.728,0.726,0.736,0.759,0.7408,0.019893717601293145,1,0.8741111111111111,0.8748888888888889,0.8767777777777778,0.8738888888888889,0.8724444444444445,0.8745555555555555,0.8733333333333333,0.8753333333333333,0.8638888888888889,0.8784444444444445,0.8737666666666666,0.003673209650401458,0.7601626016260162,0.75,0.7215447154471545,0.7235772357723578,0.7018255578093306,0.7342799188640974,0.7079107505070994,0.6795131845841785,0.7241379310344828,0.7200811359026369,0.7223033031547355,0.021935936133504925,1,0.8642309427153811,0.8755074424898511,0.8712223725755526,0.8527289129454217,0.8425445522219716,0.8689375140988044,0.8691630949695466,0.8657793819084142,0.8675840288743515,0.8517933679224002,0.8629491610721696,0.009884422976617168
0.19582796096801758,0.008081000551872749,0.0032480478286743162,0.00041262473373067566,20,5,12,"{'max_depth': 20, 'min_samples_leaf': 5, 'min_samples_split': 12}",0.7658688865764828,0.7354443309499489,0.7244582043343651,0.7622014537902388,0.719758064516129,0.7233160621761657,0.7246376811594203,0.6862539349422876,0.7282266526757608,0.7492323439099283,0.7319397615030727,0.021934696017766257,2,0.9073715392503132,0.9043656673885787,0.9074389551391255,0.9078841972765762,0.9088644854522813,0.9075858940923007,0.9110174319243477,0.9060672095423787,0.9092358501309645,0.9068705774937229,0.907670180769059,0.001714818495207288,0.8251972504961269,0.7826363549068561,0.7795395621279047,0.7956216791498624,0.7711471448403886,0.7843777380366552,0.7817692267684466,0.753995783173502,0.786876227740637,0.8094666554644712,0.7870627622704852,0.018675165210303435,4,0.9788565135295276,0.9775946124509549,0.978759381524243,0.9794204126082626,0.978603256791098,0.9783283563452659,0.979912831046843,0.9785105448807886,0.9790702245055707,0.977823849444946,0.9786879983127499,0.0006577609618779987,0.775,0.741,0.733,0.771,0.722,0.733,0.734,0.701,0.741,0.755,0.7405999999999999,0.020948508300115326,2,0.9096666666666666,0.9067777777777778,0.9094444444444445,0.9105555555555556,0.9105555555555556,0.9094444444444445,0.9132222222222223,0.909,0.9114444444444444,0.9093333333333333,0.9099444444444444,0.0016003471845543716,0.7479674796747967,0.7317073170731707,0.7134146341463414,0.7459349593495935,0.7241379310344828,0.7079107505070994,0.7099391480730223,0.6632860040567952,0.7038539553752535,0.742393509127789,0.7190545688418344,0.024226899231073823,6,0.8980604420387912,0.8946774921064502,0.9009923319801534,0.8946774921064502,0.9054816151590345,0.9027746447101286,0.90187232122716,0.8910444394315362,0.900518836002707,0.8962327994586059,0.8986332414221018,0.004226581347898336
0.2092812776565552,0.008268836420283327,0.003540444374084473,0.00020122607313470176,20,5,8,"{'max_depth': 20, 'min_samples_leaf': 5, 'min_samples_split': 8}",0.7669801462904913,0.7391742195367572,0.7162022703818369,0.7458677685950412,0.7183098591549296,0.7270854788877446,0.7270854788877446,0.6813417190775681,0.7408184679958026,0.7459349593495934,0.730880036815751,0.02185944884892238,3,0.917037544220016,0.9135802469135802,0.9156027567506495,0.9117174959871589,0.9158203565786504,0.9175082264836036,0.9166288050885959,0.9145591250854409,0.9191576086956522,0.9145133750711439,0.9156125540874491,0.0020220604361106563,0.8184955348569234,0.7886578964214839,0.7745122751424365,0.7886298892516483,0.7669123148137036,0.7776984288920628,0.7789706782529375,0.7465743285683993,0.7938876019699861,0.8102188028853656,0.7844557751054948,0.019656748084005294,9,0.9829435902360033,0.9810190527898248,0.9820220833676617,0.9813096338155507,0.981361349683888,0.9825583557757569,0.9821721220076886,0.9819586425850155,0.9828973691995229,0.9811051447404809,0.9819347344201391,0.000681478274259814,0.777,0.741,0.725,0.754,0.72,0.735,0.735,0.696,0.753,0.75,0.7386,0.021039011383617835,6,0.9192222222222223,0.9152222222222223,0.917,0.9144444444444444,0.9171111111111111,0.9192222222222223,0.9184444444444444,0.9166666666666666,0.9206666666666666,0.9165555555555556,0.9174555555555557,0.0018260461233069827,0.7459349593495935,0.7459349593495935,0.7052845528455285,0.733739837398374,0.7241379310344828,0.716024340770791,0.716024340770791,0.6592292089249493,0.716024340770791,0.744421906693712,0.7206756377908606,0.02469831073572827,2,0.9061795218764096,0.9095624718087506,0.9138475417230492,0.8967072620658547,0.9154071734716897,0.9120234604105572,0.9102188134446199,0.9054816151590345,0.9156327543424317,0.906158357771261,0.9091218972073658,0.0054668000909086165
0.2150028944015503,0.006134815678477107,0.0036893606185913084,0.00042899744920690954,20,3,10,"{'max_depth': 20, 'min_samples_leaf': 3, 'min_samples_split': 10}",0.7616033755274262,0.7424547283702214,0.7246376811594203,0.7406639004149377,0.717896865520728,0.732012513034411,0.724245577523413,0.6884899683210137,0.7253886010362695,0.7482014388489209,0.730559464975676,0.018848146821004424,4,0.9310029700708249,0.9336080586080585,0.9294615296673145,0.9257983000229726,0.9270833333333334,0.9314038286235187,0.9285061671996345,0.9321453050034271,0.9328927879685541,0.9297506546738018,0.9301652935171439,0.0023966016351227777,0.8087470392420459,0.7794035273029896,0.7635834773702068,0.775204452339799,0.7654000184036073,0.772255362050962,0.7699589119467416,0.7547739356913955,0.7836115878712226,0.799146632740017,0.7772084944958987,0.015592550366402471,17,0.9882779722887551,0.9889725414513857,0.9880492811194349,0.9869712714497993,0.9866782567256515,0.9882306502414289,0.9874405738635099,0.9886086846610096,0.9887537291600099,0.9876322953764911,0.9879615256337475,0.0007249818984510619,0.774,0.744,0.734,0.75,0.721,0.743,0.735,0.705,0.735,0.755,0.7396,0.017822457742971382,3,0.9328888888888889,0.9355555555555556,0.9314444444444444,0.9282222222222222,0.9284444444444444,0.9331111111111111,0.9304444444444444,0.934,0.9345555555555556,0.9314444444444444,0.932011111111111,0.0023483379991016693,0.733739837398374,0.75,0.7113821138211383,0.725609756097561,0.7200811359026369,0.7119675456389453,0.7058823529411765,0.6612576064908722,0.7099391480730223,0.7383367139959433,0.7168196210359671,0.022902689438737328,20,0.9190347316193054,0.9197113216057735,0.9167794316644113,0.9088858818222824,0.9235280848184074,0.9219490187232122,0.9169862395668847,0.9203699526280171,0.9235280848184074,0.9210466952402436,0.9191819442506943,0.0040893426882707765
0.17875936031341552,0.0035527842314197053,0.003774690628051758,0.00022737765768674332,10,5,10,"{'max_depth': 10, 'min_samples_leaf': 5, 'min_samples_split': 10}",0.7690700104493208,0.736111111111111,0.7145790554414785,0.7412731006160165,0.7114788004136504,0.7378238341968912,0.7145790554414785,0.698744769874477,0.7381443298969073,0.7436974789915967,0.7305501546432929,0.0194899107743262,5,0.8619360689186125,0.865771812080537,0.8636311503612799,0.8596831186595234,0.8583362339018449,0.8632719882578751,0.8619642254471819,0.8633060853769302,0.8547066083249186,0.8597327135386403,0.8612340004867344,0.003024468823816954,0.8322870654887651,0.7878236828628128,0.7693889635746751,0.787541610652327,0.7725314161575668,0.7752739536949242,0.7827674224147931,0.7490228084704602,0.8030934063076364,0.8052338258298626,0.7864964155453823,0.021812828170373905,5,0.9382581507409692,0.9429784994737634,0.9430288065916796,0.9437608159068687,0.9423690515887695,0.9429681720555239,0.9406959152574612,0.941244802366312,0.9385699131032058,0.9444045892444997,0.9418278716329054,0.0019928269681807977,0.779,0.734,0.722,0.748,0.721,0.747,0.722,0.712,0.746,0.756,0.7387,0.019334166648707688,5,0.8646666666666667,0.8666666666666667,0.8678888888888889,0.8632222222222222,0.8643333333333333,0.8654444444444445,0.8636666666666667,0.8662222222222222,0.8561111111111112,0.8658888888888889,0.864411111111111,0.0030764136567851706,0.7479674796747967,0.7540650406504065,0.7073170731707317,0.733739837398374,0.6977687626774848,0.7221095334685599,0.7058823529411765,0.6774847870182555,0.7261663286004056,0.718052738336714,0.7190553933936904,0.021978782123349236,5,0.8574650428506991,0.8728010825439784,0.8491204330175913,0.8504736129905277,0.8344236408752538,0.8623956688472818,0.864200315813219,0.8576584705616964,0.8592375366568915,0.8344236408752538,0.8542199445032393,0.011760385276604588
0.17628247737884523,0.0036381720297426986,0.003540825843811035,0.00017759124601164316,10,5,12,"{'max_depth': 10, 'min_samples_leaf': 5, 'min_samples_split': 12}",0.7724425887265135,0.7307307307307307,0.7158974358974358,0.7405128205128204,0.7114788004136504,0.7345679012345678,0.720164609053498,0.7011615628299894,0.7304526748971193,0.7428571428571429,0.7300266267153468,0.01889207212321512,6,0.8593130030608774,0.8630751964085297,0.8612319670254178,0.8581868006394154,0.8572091404709431,0.8601129943502825,0.8607509302063368,0.8597192101358292,0.8524994395875364,0.8560456185267078,0.8588144300411875,0.002846373380988893,0.8352778311247678,0.7887399174188592,0.7799176589206838,0.7886218872031241,0.7714992138459138,0.7869522426395574,0.7890646566727078,0.7564862713091767,0.8040335905837546,0.8114110365631664,0.7912004306281711,0.020668331334666164,1,0.9364976485806035,0.9413999623820314,0.9409979746754412,0.9425735728633775,0.9412834776064679,0.9408028278466275,0.9397430126609301,0.9393859705492245,0.9367692176305158,0.9421482866004223,0.9401601951395643,0.0019843633250389943,0.782,0.731,0.723,0.747,0.721,0.742,0.728,0.717,0.738,0.757,0.7385999999999999,0.018693314312876692,7,0.8621111111111112,0.8644444444444445,0.8653333333333333,0.862,0.8632222222222222,0.8624444444444445,0.8627777777777778,0.8634444444444445,0.8537777777777777,0.8625555555555555,0.8622111111111112,0.0029824383097735597,0.7520325203252033,0.741869918699187,0.709349593495935,0.733739837398374,0.6977687626774848,0.7241379310344828,0.7099391480730223,0.6734279918864098,0.7200811359026369,0.7119675456389453,0.7174314385131682,0.021416500379555416,10,0.8547586829048264,0.8671628326567433,0.8482183130356338,0.8475417230491655,0.8335213173922852,0.858560794044665,0.8610421836228288,0.8495375592149785,0.8578840514324385,0.8296864425896684,0.8507913899943234,0.011233606580346205
0.19067060947418213,0.02277656291588227,0.0034941434860229492,0.000239227668488505,10,3,12,"{'max_depth': 10, 'min_samples_leaf': 3, 'min_samples_split': 12}",0.7737226277372262,0.736,0.7103377686796317,0.7304526748971194,0.7147270854788877,0.7412731006160164,0.720906282183316,0.7035069075451648,0.7248730964467006,0.743099787685775,0.7298899331269838,0.019175946465861946,7,0.8652094717668488,0.866734486266531,0.8675601999091322,0.862952326249282,0.8618413433700058,0.8657490974729243,0.8666065795403334,0.8656546056386256,0.8566946778711484,0.8643635520519359,0.8643366340136767,0.0030385963012904303,0.8339454900454517,0.7845388419435375,0.7715575187247935,0.7808759042314831,0.7676024500802157,0.7929974274957892,0.7819552632315934,0.7566222979704024,0.7893327092110053,0.8014350812759301,0.7860862984210202,0.020129242257408468,6,0.9392330271143758,0.9412116502690653,0.943103588110114,0.9443351122839067,0.9420255927351008,0.9430309020108212,0.9398776103996586,0.9422109918588866,0.9375489707323268,0.9461228960829884,0.9418700341597244,0.0023916894013198877,0.783,0.736,0.717,0.738,0.723,0.748,0.729,0.721,0.729,0.758,0.7382000000000001,0.019093454375780215,9,0.8684444444444445,0.869,0.8704444444444445,0.8674444444444445,0.8674444444444445,0.8677777777777778,0.8684444444444445,0.8692222222222222,0.8578888888888889,0.87,0.867611111111111,0.0033801344118208165,0.7540650406504065,0.7479674796747967,0.7052845528455285,0.7215447154471545,0.7038539553752535,0.7322515212981744,0.7099391480730223,0.6713995943204868,0.7241379310344828,0.7099391480730223,0.7180383086792329,0.02261727887226813,8,0.8570139828597203,0.86468200270636,0.861299052774019,0.8470906630581867,0.8393864200315814,0.865553801037672,0.8675840288743515,0.8554026618542747,0.8623956688472818,0.8409654861267765,0.8561373768170224,0.009759337745174856
0.17940998077392578,0.008806028793331033,0.003694295883178711,0.0006200152322229835,10,5,8,"{'max_depth': 10, 'min_samples_leaf': 5, 'min_samples_split': 8}",0.7710084033613446,0.7348560079443892,0.7112024665981501,0.7405128205128204,0.7102803738317757,0.7334710743801653,0.7166324435318275,0.6982124079915879,0.7351129363449691,0.7468619246861924,0.7298150859183223,0.020172545431193983,8,0.8615768010874492,0.865771812080537,0.8636311503612799,0.8594853108631292,0.8577726218097448,0.8631436314363145,0.8627362736273627,0.8628208039972746,0.8549943883277217,0.8600976063211713,0.8612030399911983,0.0030021768432964275,0.8349357435503488,0.7916806702515844,0.7721956820946161,0.7905483803853787,0.7760261011158187,0.782209313025353,0.7861420838484342,0.7515333005269034,0.8055638905225424,0.803241435321323,0.7894076600642304,0.021222480836509214,2,0.9379378349238977,0.9429784994737634,0.9430288065916796,0.9435598590985794,0.9421777746187785,0.9428441198643986,0.9411852336056126,0.9413153365207724,0.9387710935031474,0.9446432594366228,0.9418441817637252,0.001999921614491054,0.782,0.733,0.719,0.747,0.721,0.742,0.724,0.713,0.742,0.758,0.7381,0.019861772327765734,11,0.8642222222222222,0.8666666666666667,0.8678888888888889,0.8628888888888889,0.8637777777777778,0.8653333333333333,0.8644444444444445,0.8657777777777778,0.8564444444444445,0.8662222222222222,0.8643666666666666,0.0029897148796713714,0.7459349593495935,0.7520325203252033,0.7032520325203252,0.733739837398374,0.6937119675456389,0.7200811359026369,0.7079107505070994,0.6734279918864098,0.7261663286004056,0.7241379310344828,0.718039545507017,0.022783466398108788,7,0.8576905728461885,0.8728010825439784,0.8491204330175913,0.851150202976996,0.8339724791337695,0.8621700879765396,0.8648770584254455,0.8569817279494699,0.8592375366568915,0.8348748026167381,0.8542875984143607,0.011774818120103303
0.208878493309021,0.011576514359749041,0.0036599159240722655,0.0003377829210831613,20,5,10,"{'max_depth': 20, 'min_samples_leaf': 5, 'min_samples_split': 10}",0.7684319833852544,0.7313131313131312,0.7222222222222222,0.756198347107438,0.7203219315895373,0.71900826446281,0.7246376811594203,0.6847599164926931,0.7240293809024134,0.7464212678936605,0.729734412652858,0.02195470956701494,9,0.9166097060833903,0.9135606661379857,0.9157144473356714,0.9122565864833907,0.9158561411445375,0.9175269427112875,0.9173478655767484,0.9141880341880343,0.9190901889781601,0.9150460593654043,0.915719663800461,0.0019375854617758547,0.8204060239421291,0.7824923180334166,0.7716495422828245,0.7918507137827284,0.7682905849546512,0.7701049405683514,0.7803309448651935,0.7446599533508569,0.7887565962928734,0.812319214566055,0.7830860832639079,0.020878336893658315,11,0.9826599242780323,0.9810211026134807,0.9821313661348584,0.9815268163363932,0.981433834888139,0.9825088386260046,0.9824212636569163,0.981869659896458,0.9828382696786463,0.9811950412118517,0.9819606117320779,0.0006118783888691692,0.777,0.734,0.73,0.764,0.722,0.728,0.734,0.698,0.737,0.752,0.7375999999999999,0.02108174565827035,14,0.9186666666666666,0.9152222222222223,0.9172222222222223,0.9148888888888889,0.9173333333333333,0.9192222222222223,0.9191111111111111,0.9163333333333333,0.9205555555555556,0.917,0.9175555555555557,0.00173062466421667,0.7520325203252033,0.7357723577235772,0.7134146341463414,0.7439024390243902,0.7261663286004056,0.7058823529411765,0.7099391480730223,0.665314401622718,0.6997971602434077,0.7403651115618661,0.7192586454262109,0.024568285810505654,3,0.9073071718538566,0.9093369418132612,0.9127198917456022,0.8980604420387912,0.9133769456350102,0.9122490412812994,0.9113467177983307,0.9048048725468081,0.916083916083916,0.907511842995714,0.9092797783792589,0.004908406461926881
0.1889246940612793,0.01896546061615215,0.0053383827209472655,0.005883967896902995,10,3,10,"{'max_depth': 10, 'min_samples_leaf': 3, 'min_samples_split': 10}",0.7698744769874476,0.7325349301397206,0.7141403865717193,0.7291452111225539,0.7153134635149024,0.7422680412371135,0.7186858316221767,0.7046413502109704,0.7296747967479675,0.740273396424816,0.7296551884579388,0.017579499378948298,10,0.8681693989071039,0.8710440364905958,0.8702064896755162,0.8663457129756993,0.8630311450735209,0.8693886758402888,0.86795853988283,0.8698419915880413,0.8586504996070506,0.8690517540812781,0.8673688244121924,0.003625578936295116,0.8292842967799755,0.7795575667370847,0.7705592631713718,0.7784872927469433,0.763713687882825,0.7909610283615589,0.7658181003476682,0.7523954695120244,0.7932354741529339,0.7927913871118739,0.7816803566804259,0.02044416619059164,14,0.9413168333889502,0.9440794770470133,0.9449388717889142,0.9466773692158176,0.9433830788464662,0.9456532611105741,0.9411874316237312,0.9444909540687809,0.9396615872032076,0.9491595692496968,0.9440548433543151,0.002682048267619332,0.78,0.732,0.719,0.737,0.723,0.75,0.726,0.72,0.734,0.753,0.7373999999999999,0.017989997220677956,16,0.8713333333333333,0.8727777777777778,0.8728888888888889,0.8704444444444445,0.8685555555555555,0.8713333333333333,0.8697777777777778,0.8727777777777778,0.8601111111111112,0.8743333333333333,0.8704333333333333,0.0037994314064535447,0.7479674796747967,0.7459349593495935,0.7134146341463414,0.7195121951219512,0.7058823529411765,0.7302231237322515,0.7099391480730223,0.6774847870182555,0.7281947261663286,0.7139959432048681,0.7192549349428585,0.01951574324000872,4,0.8599458728010826,0.8721244925575101,0.8649075327018494,0.8522778529544429,0.8407399052560343,0.8693886758402888,0.8689375140988044,0.8630724114595082,0.8626212497180239,0.8466050078953304,0.8600620515282875,0.00982546332451495
