mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_max_depth,param_max_features,param_n_estimators,params,split0_test_f1,split1_test_f1,split2_test_f1,split3_test_f1,split4_test_f1,split5_test_f1,split6_test_f1,split7_test_f1,split8_test_f1,split9_test_f1,mean_test_f1,std_test_f1,rank_test_f1,split0_train_f1,split1_train_f1,split2_train_f1,split3_train_f1,split4_train_f1,split5_train_f1,split6_train_f1,split7_train_f1,split8_train_f1,split9_train_f1,mean_train_f1,std_train_f1,split0_test_roc_auc,split1_test_roc_auc,split2_test_roc_auc,split3_test_roc_auc,split4_test_roc_auc,split5_test_roc_auc,split6_test_roc_auc,split7_test_roc_auc,split8_test_roc_auc,split9_test_roc_auc,mean_test_roc_auc,std_test_roc_auc,rank_test_roc_auc,split0_train_roc_auc,split1_train_roc_auc,split2_train_roc_auc,split3_train_roc_auc,split4_train_roc_auc,split5_train_roc_auc,split6_train_roc_auc,split7_train_roc_auc,split8_train_roc_auc,split9_train_roc_auc,mean_train_roc_auc,std_train_roc_auc,split0_test_accuracy,split1_test_accuracy,split2_test_accuracy,split3_test_accuracy,split4_test_accuracy,split5_test_accuracy,split6_test_accuracy,split7_test_accuracy,split8_test_accuracy,split9_test_accuracy,mean_test_accuracy,std_test_accuracy,rank_test_accuracy,split0_train_accuracy,split1_train_accuracy,split2_train_accuracy,split3_train_accuracy,split4_train_accuracy,split5_train_accuracy,split6_train_accuracy,split7_train_accuracy,split8_train_accuracy,split9_train_accuracy,mean_train_accuracy,std_train_accuracy,split0_test_recall,split1_test_recall,split2_test_recall,split3_test_recall,split4_test_recall,split5_test_recall,split6_test_recall,split7_test_recall,split8_test_recall,split9_test_recall,mean_test_recall,std_test_recall,rank_test_recall,split0_train_recall,split1_train_recall,split2_train_recall,split3_train_recall,split4_train_recall,split5_train_recall,split6_train_recall,split7_train_recall,split8_train_recall,split9_train_recall,mean_train_recall,std_train_recall
44.19805955886841,0.4032103714853488,0.9239541530609131,0.026871317930629614,,auto,2000,"{'max_depth': None, 'max_features': 'auto', 'n_estimators': 2000}",0.8312757201646092,0.8179043743641912,0.8336713995943206,0.8136645962732919,0.8096192384769539,0.8439073514602216,0.82765737874097,0.8062176165803109,0.8317853457172343,0.8302658486707567,0.824596887004286,0.011486764323075377,1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.9161785417066769,0.9147561775814609,0.9235124191793099,0.9051817265219897,0.899990398118031,0.9200543306488072,0.9196382490968231,0.9019007725514201,0.9189881216718476,0.9164336209897139,0.913663435806608,0.007837997517714355,11,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.836,0.821,0.836,0.82,0.81,0.845,0.833,0.813,0.837,0.834,0.8285,0.01103856874780421,2,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.8211382113821138,0.8170731707317073,0.8353658536585366,0.7987804878048781,0.8194726166328601,0.8498985801217038,0.8133874239350912,0.7890466531440162,0.8174442190669371,0.8235294117647058,0.8185136628242551,0.016090913159495197,6,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0
64.96989879608154,0.42639698143542326,1.3552862644195556,0.03608254447194832,20,auto,3000,"{'max_depth': 20, 'max_features': 'auto', 'n_estimators': 3000}",0.8328205128205127,0.8187372708757638,0.8296146044624747,0.816032887975334,0.8108108108108107,0.8445336008024072,0.8248704663212435,0.8082901554404145,0.8338493292053664,0.8252032520325203,0.8244762890746848,0.01067626063302101,2,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.9164906215991293,0.9145061135650727,0.9221960821970424,0.905663849945586,0.9007525474993098,0.9200843365299599,0.9189641169669256,0.9013286604174419,0.9193161859724506,0.9161115578653416,0.9135414072558261,0.007559519810868471,18,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.837,0.822,0.832,0.821,0.811,0.845,0.831,0.815,0.839,0.828,0.8280999999999998,0.010290286682109483,4,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.8252032520325203,0.8170731707317073,0.8313008130081301,0.806910569105691,0.821501014198783,0.8539553752535497,0.8073022312373225,0.7910750507099391,0.8194726166328601,0.8235294117647058,0.8197323504675209,0.01581077743242576,1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0
10.818072867393493,0.08337599370683063,0.22837405204772948,0.00663659311942427,50,auto,500,"{'max_depth': 50, 'max_features': 'auto', 'n_estimators': 500}",0.8300720906282183,0.8189300411522634,0.8348530901722391,0.8140495867768595,0.8108108108108107,0.8439073514602216,0.8207253886010364,0.8079331941544885,0.8302277432712216,0.832146490335707,0.8243655787363066,0.011055819071200726,3,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.9167226810063377,0.9147161673388388,0.9238044939504515,0.9064260450675374,0.8996243263679681,0.9197082628195128,0.9191321499013807,0.9010846125840664,0.9203903965177176,0.915607459061976,0.9137216594615787,0.007977816691955476,8,1.0,1.0,1.0,1.0,0.9999999999999999,1.0,1.0,1.0,1.0,1.0,1.0,3.510833468576701e-17,0.835,0.824,0.837,0.82,0.811,0.845,0.827,0.816,0.836,0.835,0.8286000000000001,0.010209799214480165,1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.8191056910569106,0.8089430894308943,0.8373983739837398,0.8008130081300813,0.821501014198783,0.8498985801217038,0.8032454361054767,0.7849898580121704,0.8133874239350912,0.8296146044624746,0.8168897079437325,0.017988691833390993,24,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0
43.9610111951828,0.8468698365956778,0.9212655782699585,0.03647770688620055,,sqrt,2000,"{'max_depth': None, 'max_features': 'sqrt', 'n_estimators': 2000}",0.8295687885010268,0.8183673469387754,0.834008097165992,0.8103092783505155,0.8123752495009979,0.8413654618473896,0.8281573498964804,0.8082901554404145,0.8317853457172343,0.8273748723186926,0.8241601945677519,0.010596497844755838,4,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.916694673836502,0.913773926125088,0.9222340919275334,0.9053297644196913,0.9001264247792568,0.9197262663482043,0.919704262035359,0.9024688839012445,0.9198942992826593,0.9163496045224864,0.9136302197178023,0.007615465329137871,13,0.9999999999999999,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,3.510833468576701e-17,0.834,0.822,0.836,0.816,0.812,0.842,0.834,0.815,0.837,0.831,0.8279,0.010133607452432714,8,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.8211382113821138,0.8150406504065041,0.8373983739837398,0.7987804878048781,0.8255578093306288,0.8498985801217038,0.8113590263691683,0.7910750507099391,0.8174442190669371,0.821501014198783,0.8189193423374397,0.016161998926973807,5,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0
4.315462613105774,0.05404417069986183,0.09451529979705811,0.004990207243870744,20,auto,200,"{'max_depth': 20, 'max_features': 'auto', 'n_estimators': 200}",0.8276573787409701,0.81947261663286,0.8313008130081302,0.8164948453608248,0.810431293881645,0.844758064516129,0.8273009307135469,0.8025078369905956,0.8317853457172343,0.8296146044624746,0.824132373002441,0.011503387517662889,5,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.9150782600345688,0.9138739517316433,0.9210437872095256,0.9031632097817041,0.9009845929802243,0.919232169505223,0.9188781001076212,0.8976439382118894,0.9168717068545436,0.9163736092274085,0.9123143325644352,0.008011170344240905,39,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.833,0.822,0.834,0.822,0.811,0.846,0.833,0.811,0.837,0.832,0.8281000000000001,0.010755928597754797,3,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.8150406504065041,0.8211382113821138,0.8313008130081301,0.8048780487804879,0.8194726166328601,0.8498985801217038,0.8113590263691683,0.7789046653144016,0.8174442190669371,0.8296146044624746,0.8179051435544782,0.01759277420268066,11,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0
10.949613809585571,0.216100850968682,0.2395390510559082,0.014296901861471183,,sqrt,500,"{'max_depth': None, 'max_features': 'sqrt', 'n_estimators': 500}",0.8331627430910952,0.8163265306122449,0.8316430020283976,0.8152734778121774,0.8048289738430583,0.8439073514602216,0.8270833333333334,0.8099688473520249,0.8314374353671147,0.8265306122448979,0.8240162307144565,0.011442611357807036,6,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.9158384546443888,0.9149862364765378,0.9215559183150885,0.905565824851162,0.9007205412260804,0.9212565662869922,0.9184420146348685,0.9007665502438478,0.9185880432564784,0.9143612147981003,0.9132081364733546,0.007558752506656091,26,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9999999999999999,1.0,1.0,3.510833468576701e-17,0.837,0.82,0.834,0.821,0.806,0.845,0.834,0.817,0.837,0.83,0.8280999999999998,0.01115750868249717,4,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.8272357723577236,0.8130081300813008,0.8333333333333334,0.8028455284552846,0.8113590263691683,0.8498985801217038,0.8052738336713996,0.7910750507099391,0.8154158215010142,0.821501014198783,0.8170946090799649,0.015919344443899704,21,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0
10.76842257976532,0.07781867087832889,0.23493916988372804,0.011629635050773591,50,sqrt,500,"{'max_depth': 50, 'max_features': 'sqrt', 'n_estimators': 500}",0.8352098259979529,0.8175331294597349,0.8260427263479146,0.8177136972193615,0.8096192384769539,0.8435923309788094,0.8240165631469979,0.8099688473520249,0.8265835929387332,0.8297655453618756,0.8240045497280359,0.010191302468273994,7,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.9166766692273223,0.9134058318929645,0.9223161129249087,0.90425949042955,0.9019407803929569,0.9210365231585391,0.9190021244163856,0.9020468011730298,0.9188861016759285,0.9166076551003997,0.9136178090391984,0.007507354106037456,14,1.0,1.0,0.9999999999999999,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,3.510833468576701e-17,0.839,0.821,0.829,0.823,0.81,0.845,0.83,0.817,0.833,0.833,0.828,0.009919677414109783,6,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.8292682926829268,0.8150406504065041,0.8252032520325203,0.806910569105691,0.8194726166328601,0.847870182555781,0.8073022312373225,0.7910750507099391,0.8073022312373225,0.8255578093306288,0.8175002885931496,0.01487767343142035,15,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0
1.8277462482452393,0.016618820716526095,0.051688981056213376,0.003261606154576581,50,log2,100,"{'max_depth': 50, 'max_features': 'log2', 'n_estimators': 100}",0.8280123583934088,0.8232890704800816,0.8318042813455657,0.8099173553719009,0.8060301507537687,0.8366935483870968,0.8348909657320873,0.8086866597724923,0.8326446280991736,0.8265306122448979,0.8238499630580474,0.01092654467916467,8,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.9162525606555277,0.9122535369054477,0.9221280647845848,0.9011506945778119,0.8960336225900276,0.9142191869606442,0.9183619989517945,0.8968917907909949,0.9153514088761397,0.9144552332257122,0.9107098098318686,0.008761454770721473,51,1.0,1.0,1.0,1.0,0.9999999999999999,1.0,1.0,1.0,1.0,1.0,1.0,3.510833468576701e-17,0.833,0.827,0.835,0.816,0.807,0.838,0.841,0.815,0.838,0.83,0.828,0.010963576058932585,6,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.8170731707317073,0.8191056910569106,0.8292682926829268,0.7967479674796748,0.8133874239350912,0.8417849898580122,0.8154158215010142,0.7931034482758621,0.8174442190669371,0.821501014198783,0.8164832038786919,0.013355830286193547,32,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0
21.58977508544922,0.3577514460594114,0.47216484546661375,0.031994243638282585,20,auto,1000,"{'max_depth': 20, 'max_features': 'auto', 'n_estimators': 1000}",0.8280123583934088,0.814663951120163,0.8328267477203648,0.81282316442606,0.8083832335329342,0.8413654618473896,0.8314374353671147,0.8087318087318088,0.8300720906282184,0.8284263959390863,0.823674264770655,0.01093330671865701,9,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.9157304269893094,0.9129417130785481,0.923040298316369,0.9055758274118173,0.8998123632231918,0.9195682353741333,0.9201603514288801,0.9006745322083128,0.9205364251393272,0.9157874943488924,0.9133827667518781,0.008041955925820209,22,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.833,0.818,0.835,0.819,0.808,0.842,0.837,0.816,0.835,0.831,0.8273999999999999,0.0106320270880016,10,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.8170731707317073,0.8130081300813008,0.8353658536585366,0.7987804878048781,0.821501014198783,0.8498985801217038,0.8154158215010142,0.7890466531440162,0.8174442190669371,0.8275862068965517,0.8185120137205428,0.01631279792547281,7,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0
64.88048355579376,0.48220144933808584,1.3585439205169678,0.033819398732443336,50,sqrt,3000,"{'max_depth': 50, 'max_features': 'sqrt', 'n_estimators': 3000}",0.8311156601842374,0.8183673469387754,0.8308004052684904,0.8173374613003096,0.8063872255489021,0.8405215646940822,0.8260869565217391,0.8090815273477812,0.8293691830403308,0.8268839103869654,0.8235951241231614,0.010092513525356488,10,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.9169807470712502,0.9143600761795019,0.9228562512003072,0.9059679277895142,0.9002884565374814,0.9198822969301983,0.9199743149657332,0.9014626866865906,0.9207264623866277,0.9161395633544176,0.9138638783101622,0.007855470192451815,5,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9999999999999999,1.0,1.0,3.510833468576701e-17,0.835,0.822,0.833,0.823,0.806,0.841,0.832,0.815,0.835,0.83,0.8271999999999998,0.010097524449091455,11,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.8252032520325203,0.8150406504065041,0.8333333333333334,0.8048780487804879,0.8194726166328601,0.8498985801217038,0.8093306288032455,0.795131845841785,0.8133874239350912,0.8235294117647058,0.8189205791652236,0.014591488554228583,3,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0
