mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_n_neighbors,param_p,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,split5_test_score,split6_test_score,split7_test_score,split8_test_score,split9_test_score,mean_test_score,std_test_score,rank_test_score,split0_train_score,split1_train_score,split2_train_score,split3_train_score,split4_train_score,split5_train_score,split6_train_score,split7_train_score,split8_train_score,split9_train_score,mean_train_score,std_train_score
0.06990420818328857,0.006934307334652769,1.2101192951202393,0.08791033957900543,30,2,"{'n_neighbors': 30, 'p': 2}",0.7723248165949912,0.7720718441689856,0.7690361750569188,0.7728307614470022,0.7804199342271693,0.7748545408550468,0.7844674930432582,0.781178851505186,0.7720718441689856,0.7768218623481782,0.7756078123415723,0.0047054320000439916,1,0.7890712840116932,0.7905329435574545,0.7885091072633236,0.7868225770182146,0.7879469305149539,0.7882561277265572,0.7890993928491118,0.7880874747020463,0.7900832021587587,0.7889085645220226,0.7887317604324137,0.001015095524853155
0.06654114723205566,0.003628592536764467,14.431728100776672,0.39300800581326645,30,3,"{'n_neighbors': 30, 'p': 3}",0.7705540096129522,0.7703010371869466,0.7697950923349355,0.7735896787250189,0.7799139893751581,0.7778902099671136,0.7829496584872249,0.7786491272451302,0.7675183405008854,0.7747975708502024,0.7745958714285568,0.004840702059488179,2,0.7878626040026985,0.7889869574994378,0.7871879919046548,0.7864571621317742,0.7866539239937036,0.7862322914324263,0.7870755565549808,0.7871879919046548,0.7889588486620194,0.7871658655873176,0.7873769193673669,0.000906433221605716
0.07056491374969483,0.009496282691133407,2.716100239753723,0.1582031129957995,30,1,"{'n_neighbors': 30, 'p': 1}",0.7670123956488742,0.770048064760941,0.7738426511510246,0.7730837338730079,0.7819377687832026,0.7761194029850746,0.781178851505186,0.7781431823931192,0.76954211990893,0.7740384615384616,0.7744946632547822,0.004679079795880925,3,0.7881436923768833,0.790504834720036,0.7880593658646279,0.786738250505959,0.7884247807510681,0.7878907128401169,0.7883685630762312,0.7886777602878345,0.7887901956375084,0.788739916238019,0.7884338072298285,0.0008926342331825982
0.07442808151245117,0.013752473945283063,2.697447347640991,0.21486531834234368,20,1,"{'n_neighbors': 20, 'p': 1}",0.7680242853528966,0.7685302302049076,0.7730837338730079,0.7710599544649633,0.781178851505186,0.7751075132810523,0.7771312926890969,0.7708069820389577,0.7680242853528966,0.7747975708502024,0.7727744699613166,0.0041133910192391165,4,0.7920227119406341,0.7936811333483247,0.7926973240386778,0.7941589835844389,0.7911513379806612,0.7925848886890038,0.7929503035754442,0.7939341128850911,0.7935405891612323,0.7928999072434438,0.7929621292446952,0.000872164480748519
0.06780037879943848,0.0043287889707270015,12.579853343963624,0.09376409689284591,30,4,"{'n_neighbors': 30, 'p': 4}",0.7692891474829243,0.7649886162408297,0.7710599544649633,0.7690361750569188,0.7756134581330635,0.7781431823931192,0.7801669618011636,0.7766253478370858,0.7667594232228687,0.7740384615384616,0.7725720728171399,0.004831266315147503,5,0.7871879919046548,0.7897458961097369,0.7867101416685406,0.7875252979536767,0.7862604002698449,0.7869912300427254,0.7865977063188666,0.7860074207330785,0.7882842365639757,0.7864631644039689,0.7871773485969069,0.001060769128288781
0.07221896648406982,0.005716213840488278,11.473751091957093,0.1670986091314823,30,5,"{'n_neighbors': 30, 'p': 5}",0.7708069820389577,0.764229698962813,0.7687832026309133,0.7677713129268909,0.775360485707058,0.7761194029850746,0.7766253478370858,0.7751075132810523,0.7687832026309133,0.7768218623481782,0.7720409011348937,0.004276969593963012,6,0.7854733528221273,0.7881999100517203,0.7855295704969643,0.7865695974814482,0.7846019788621542,0.7864009444569373,0.7860355295704969,0.7855576793343827,0.7871036653923994,0.7857042471259522,0.7861176475594582,0.0009561366928042684
0.07047841548919678,0.006818965393461914,1.1440345764160156,0.12629787173649687,20,2,"{'n_neighbors': 20, 'p': 2}",0.7654945610928409,0.7705540096129522,0.7662534783708576,0.7687832026309133,0.7799139893751581,0.7733367062990134,0.7740956235770301,0.7773842651151025,0.7644826713888186,0.7682186234817814,0.7708517130944468,0.0049315848358798715,7,0.7915167528671014,0.7928378682257702,0.7909264672813132,0.7905329435574545,0.7906453789071284,0.7910951203058242,0.7917416235664493,0.7915167528671014,0.7921351472903081,0.7907074795513955,0.7913655534419846,0.000696994931712667
0.0711902141571045,0.005298908803192445,13.069601488113403,0.11783600645089981,20,3,"{'n_neighbors': 20, 'p': 3}",0.7616999747027574,0.7619529471287629,0.7672653680748799,0.7680242853528966,0.7703010371869466,0.7728307614470022,0.7794080445231469,0.7786491272451302,0.7649886162408297,0.7740384615384616,0.7699158623440814,0.0059816554975827526,8,0.7916854058916123,0.7928378682257702,0.7907015965819654,0.790392399370362,0.7902518551832696,0.7914043175174275,0.7921632561277265,0.7895491342478075,0.7929784124128626,0.7911009922140709,0.7913065237772875,0.0010710686434635126
0.06994171142578125,0.005437290257827025,11.13475706577301,0.09203127160302234,20,4,"{'n_neighbors': 20, 'p': 4}",0.7627118644067796,0.7609410574247407,0.7703010371869466,0.7692891474829243,0.7723248165949912,0.770048064760941,0.7743485960030356,0.7804199342271693,0.7649886162408297,0.771255060728745,0.7696628195057102,0.005424222823326209,9,0.7915167528671014,0.7919102765909602,0.7917697324038677,0.7910107937935686,0.7884247807510681,0.7908983584438948,0.7910670114684056,0.789577243085226,0.7914043175174275,0.7901734266520505,0.7907752693573571,0.0010344424573505815
0.06952972412109375,0.0054206163670418315,10.339446783065796,0.18345432388574764,20,5,"{'n_neighbors': 20, 'p': 5}",0.7634707816847963,0.7609410574247407,0.7677713129268909,0.7692891474829243,0.7723248165949912,0.7692891474829243,0.7804199342271693,0.7748545408550468,0.7644826713888186,0.7692307692307693,0.7692074179299071,0.005412669739373625,10,0.7907578142568024,0.7904205082077805,0.7905329435574545,0.791376208680009,0.7892118281987857,0.7901956375084327,0.7896615695974815,0.788649651450416,0.7907578142568024,0.78924586109003,0.7900809836803995,0.0008126486516982015
