mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_max_depth,param_min_samples_leaf,param_min_samples_split,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,split5_test_score,split6_test_score,split7_test_score,split8_test_score,split9_test_score,mean_test_score,std_test_score,rank_test_score,split0_train_score,split1_train_score,split2_train_score,split3_train_score,split4_train_score,split5_train_score,split6_train_score,split7_train_score,split8_train_score,split9_train_score,mean_train_score,std_train_score
0.46667730808258057,0.010780900083566589,0.0011881351470947265,0.00012421654648061612,10,4,8,"{'max_depth': 10, 'min_samples_leaf': 4, 'min_samples_split': 8}",0.7217303313938781,0.746268656716418,0.7323551732861118,0.7437389324563622,0.7616999747027574,0.7414621806223122,0.7460156842904123,0.7490513534024791,0.7247660005059449,0.7454453441295547,0.741253363150623,0.011325455800877226,1,0.8145378907128401,0.8143130200134923,0.8158871149089274,0.8166179446818079,0.8133292107038453,0.8119237688329211,0.8123454013941983,0.8133292107038453,0.8160838767708568,0.8151614807319335,0.8143528919454669,0.001523047818831273
0.4698426961898804,0.015978138841842893,0.0012094497680664063,0.0001508169220960517,10,4,10,"{'max_depth': 10, 'min_samples_leaf': 4, 'min_samples_split': 10}",0.7209714141158614,0.7465216291424235,0.7326081457121174,0.7450037945863901,0.7599291677207184,0.7419681254743233,0.7477864912724513,0.748545408550468,0.7229951935239058,0.7451923076923077,0.7411521677790966,0.011497145261325193,2,0.8140038228018889,0.8139757139644704,0.815634135372161,0.8159152237463458,0.8126545986058017,0.8113615920845514,0.8118394423206656,0.8128513604677311,0.8152968293231392,0.8141214829805773,0.8137654201667333,0.0014914427835238636
0.47052960395812987,0.015261653289268375,0.0016222715377807618,0.0013520519941351624,10,4,12,"{'max_depth': 10, 'min_samples_leaf': 4, 'min_samples_split': 12}",0.7212243865418669,0.7475335188464457,0.7328611181381229,0.7432329876043511,0.7606880849987352,0.7399443460662788,0.746774601568429,0.7477864912724513,0.7255249177839616,0.7436740890688259,0.7409244541889468,0.011043997560761151,3,0.8132167753541714,0.8131886665167528,0.8151000674612098,0.8152406116483022,0.8116707892961547,0.8105464357994153,0.8115021362716438,0.8124016190690353,0.8149033055992804,0.8135874300812322,0.8131357837097198,0.0015389905303175274
0.47015411853790284,0.012625682594858275,0.0011774301528930664,0.0001250297694590337,10,5,12,"{'max_depth': 10, 'min_samples_leaf': 5, 'min_samples_split': 12}",0.7240070832279282,0.7447508221603846,0.7328611181381229,0.7414621806223122,0.7586643055906906,0.7442448773083734,0.746268656716418,0.7480394636984569,0.7224892486718948,0.742661943319838,0.740544969945442,0.010547473899088187,4,0.8125140544187093,0.8123454013941983,0.8145097818754217,0.8141162581515629,0.8107431976613447,0.8091972116033281,0.8114740274342254,0.8119518776703396,0.8136102990780302,0.8127160806138798,0.812317818990104,0.0015156183876510398
0.47516229152679446,0.010750081074622308,0.0013857841491699218,0.0007289933057159116,10,3,10,"{'max_depth': 10, 'min_samples_leaf': 3, 'min_samples_split': 10}",0.7207184416898558,0.7452567670123956,0.7321022008601062,0.7439919048823678,0.7606880849987352,0.7401973184922843,0.7477864912724513,0.748545408550468,0.7207184416898558,0.7451923076923077,0.7405197367140828,0.011981023173277722,5,0.8152406116483022,0.8149033055992804,0.8168147065437373,0.8172925567798516,0.813835169777378,0.8124578367438723,0.8129356869799865,0.8136384079154486,0.8165617270069709,0.8150209404952637,0.8148700949490092,0.0015754885415235583
0.4725416421890259,0.009112155972979675,0.0012855052947998047,0.00027870586934892626,10,3,8,"{'max_depth': 10, 'min_samples_leaf': 3, 'min_samples_split': 8}",0.7202124968378447,0.7460156842904123,0.7333670629901341,0.7447508221603846,0.7604351125727296,0.7396913736402733,0.746268656716418,0.7475335188464457,0.7207184416898558,0.7454453441295547,0.7404438513874052,0.011863807001947195,6,0.8159152237463458,0.8154373735102316,0.817433100966944,0.8180796042275692,0.8147346525747695,0.8131886665167528,0.8136102990780302,0.8143692376883293,0.8177704070159658,0.8163701267672935,0.8156908692092232,0.0016399006173280933
0.4697419166564941,0.011002626078993423,0.0015719175338745118,0.0008601394696030238,10,5,8,"{'max_depth': 10, 'min_samples_leaf': 5, 'min_samples_split': 8}",0.7232481659499115,0.74272704275234,0.7323551732861118,0.7417151530483177,0.7586643055906906,0.7422210979003289,0.7457627118644068,0.7475335188464457,0.7229951935239058,0.7444331983805668,0.7401655561143026,0.010494001943433355,7,0.8131605576793344,0.813020013492242,0.8151281762986283,0.8147346525747695,0.8113897009219698,0.8098718237013717,0.8117270069709916,0.8124859455812907,0.8141724758263998,0.8132220254658908,0.8128912378512888,0.0015209651316134595
0.4698544263839722,0.009459237121538044,0.001147294044494629,5.72968459874628e-05,10,3,12,"{'max_depth': 10, 'min_samples_leaf': 3, 'min_samples_split': 12}",0.7204654692638502,0.7455097394384013,0.7328611181381229,0.7434859600303567,0.7596761952947129,0.7399443460662788,0.7470275739944346,0.7475335188464457,0.7204654692638502,0.7444331983805668,0.740140258871702,0.011702228616280275,8,0.8142568023386553,0.8140600404767259,0.8163649651450416,0.8166179446818079,0.8127670339554756,0.8115864627838992,0.8124859455812907,0.813020013492242,0.8161682032831122,0.814262023217247,0.8141589434955497,0.001662271926864151
0.47406930923461915,0.016283950951114397,0.0011571645736694336,9.109376125495274e-05,10,5,10,"{'max_depth': 10, 'min_samples_leaf': 5, 'min_samples_split': 10}",0.7237541108019226,0.7439919048823678,0.7313432835820896,0.7417151530483177,0.7589172780166962,0.7424740703263344,0.7447508221603846,0.7477864912724513,0.7222362762458892,0.743168016194332,0.7400137406530785,0.010632559516814284,9,0.8131605576793344,0.8130762311670789,0.8151000674612098,0.8147346525747695,0.8114178097593884,0.8097593883516978,0.8117270069709916,0.8125140544187093,0.8142568023386553,0.8132220254658908,0.8128968596187726,0.0015438557274579914
0.5561937093734741,0.026961345194231094,0.0012964487075805664,0.0002148953839916948,20,5,12,"{'max_depth': 20, 'min_samples_leaf': 5, 'min_samples_split': 12}",0.7080698203895776,0.7154060207437389,0.711864406779661,0.7050341512775108,0.7227422210979003,0.7181887174298002,0.7108525170756388,0.7027573994434607,0.6890968884391602,0.7122975708502024,0.7096309713526651,0.008857453036481338,10,0.895716213177423,0.8932988531594334,0.893804812232966,0.8944232066561727,0.8944794243310097,0.8937767033955476,0.8943950978187543,0.8961940634135372,0.8934393973465258,0.8949883351603564,0.8944516106691726,0.0009030770770831458
