mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_max_depth,param_max_features,param_n_estimators,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,split5_test_score,split6_test_score,split7_test_score,split8_test_score,split9_test_score,mean_test_score,std_test_score,rank_test_score,split0_train_score,split1_train_score,split2_train_score,split3_train_score,split4_train_score,split5_train_score,split6_train_score,split7_train_score,split8_train_score,split9_train_score,mean_train_score,std_train_score
109.5009970664978,4.126823895461987,0.5828967809677124,0.045159429479206745,10,log2,1000,"{'max_depth': 10, 'max_features': 'log2', 'n_estimators': 1000}",0.7395791177660866,0.78328611898017,0.7648725212464589,0.7434237150951032,0.762193887876948,0.7773730014167173,0.7049180327868853,0.7678607569317952,0.7518720906699049,0.7905282331511839,0.7585907475921253,0.023745305625923356,1,0.8302752293577982,0.8286112610181687,0.8299829105954308,0.8288361216046052,0.8281204326220404,0.8268162705461741,0.8313133811526094,0.8285701436826839,0.8296944213342927,0.8256919928945653,0.8287912164808369,0.0015760185788600818
115.4484009027481,2.3111508680530948,0.5910553455352783,0.0243671699890036,10,sqrt,1000,"{'max_depth': 10, 'max_features': 'sqrt', 'n_estimators': 1000}",0.7401861594496155,0.7855119384864427,0.7630513961958721,0.7430190206394173,0.761384335154827,0.7777777777777778,0.7057275855090063,0.7680631451123254,0.7524792552114956,0.7876947986237604,0.7584895412160539,0.02338874863563004,2,0.8303876596510164,0.8285662889008815,0.8305000899442345,0.8293308148947652,0.8278955770917186,0.8265914150158523,0.8314033233647381,0.828457715917523,0.8293796235918423,0.8257369640006296,0.8288249472373203,0.00167480037840944
349.0994011640549,6.682237735556004,1.8730834245681762,0.1473297413819203,10,auto,3000,"{'max_depth': 10, 'max_features': 'auto', 'n_estimators': 3000}",0.7393767705382436,0.7836908134358559,0.764063132335087,0.7436260623229461,0.7603723942521756,0.7775753895972475,0.7063347500505971,0.7672535923902044,0.7536935842946771,0.7870876340821696,0.7583074123299204,0.022929579225941497,3,0.830095340888649,0.8287911494873179,0.8301403130059363,0.8293083288361216,0.8276707215613968,0.8267038427810132,0.8307962134328694,0.8281654037281047,0.8294021091448744,0.825916848424887,0.828699027129117,0.0014954160660580794
232.41782023906708,4.073084153492096,1.2370415687561036,0.08874895509728103,10,sqrt,2000,"{'max_depth': 10, 'max_features': 'sqrt', 'n_estimators': 2000}",0.7389720760825577,0.78328611898017,0.7632537434237151,0.7426143261837312,0.7617891115158875,0.7781825541388383,0.7049180327868853,0.7664440396680834,0.7534911961141469,0.7891115158874722,0.7582062714781488,0.02358874867660004,4,0.8301178269472926,0.8288810937218924,0.8304551178269473,0.8292183846015471,0.8280529759629438,0.8271535538416568,0.8310210689631912,0.8280979470690082,0.8297169068873249,0.8257594495536618,0.8288474325375466,0.0015302198231832529
58.061646008491515,2.0084546809417194,0.3176897048950195,0.03024232860835863,10,sqrt,500,"{'max_depth': 10, 'max_features': 'sqrt', 'n_estimators': 500}",0.7397814649939296,0.7847025495750708,0.7646701740186159,0.7422096317280453,0.7589556769884639,0.777170613236187,0.7065371382311273,0.7676583687512649,0.7518720906699049,0.7883019631653512,0.7581859671357961,0.02324719012825111,5,0.8306574923547401,0.828026623493434,0.8304551178269473,0.8291509264256162,0.8279180626447508,0.8268612416522384,0.8305039012434511,0.8282553459402334,0.8294245946979066,0.8254671373642435,0.8286720443643562,0.0016118884516770587
217.63407983779908,4.685954964416723,1.1744218587875366,0.07635604876257084,10,log2,2000,"{'max_depth': 10, 'max_features': 'log2', 'n_estimators': 2000}",0.7387697288547147,0.783083771752327,0.7628490489680292,0.7422096317280453,0.7615867233353573,0.7761586723335357,0.7065371382311273,0.7664440396680834,0.7532888079336166,0.7905282331511839,0.758145579595602,0.023268534979021104,6,0.829533189422558,0.8287012052527433,0.8299379384781436,0.8290160100737543,0.8280304904099116,0.8268837272052706,0.8313358667056416,0.8285026870235873,0.8299417624176466,0.82553459402334,0.8287417471012597,0.0015685890621786073
231.37564148902894,6.394591627967905,1.2024112224578858,0.06694815015205326,10,auto,2000,"{'max_depth': 10, 'max_features': 'auto', 'n_estimators': 2000}",0.7395791177660866,0.782476730068798,0.763860785107244,0.7422096317280453,0.761384335154827,0.7791944950414896,0.7043108682452944,0.7668488160291439,0.7530864197530864,0.7872900222626998,0.7580241221156715,0.02350670407308756,7,0.8305000899442345,0.8291284403669725,0.8309048389998202,0.8292408706601907,0.827828120432622,0.8266588716749489,0.8306837856677085,0.8279855193038472,0.8294920513570031,0.8259843050839836,0.8288406893491331,0.0016048182888071657
57.974688386917116,2.069005912725038,0.29751200675964357,0.018534994200503207,10,log2,500,"{'max_depth': 10, 'max_features': 'log2', 'n_estimators': 500}",0.7395791177660866,0.7818696883852692,0.7632537434237151,0.7424119789558883,0.7607771706132362,0.7773730014167173,0.7051204209674155,0.7664440396680834,0.7526816433920259,0.7893139040680024,0.757882470865644,0.02332158670635758,8,0.8305450620615219,0.8282739701385141,0.8299604245367872,0.8286112610181687,0.827940548197783,0.8269736694173994,0.8306613001146763,0.8287050570008769,0.8291322825084882,0.8266139005688845,0.8287417475563099,0.0013079471902964458
112.50037467479706,4.656106017996372,0.5910092115402221,0.04295784550059924,10,auto,1000,"{'max_depth': 10, 'max_features': 'auto', 'n_estimators': 1000}",0.7393767705382436,0.7836908134358559,0.76426547956293,0.7424119789558883,0.7601700060716454,0.777980165958308,0.7026917628010524,0.7658368751264926,0.7536935842946771,0.7887067395264117,0.7578824176271505,0.024030667258959006,9,0.8305225760028783,0.8290384961323979,0.8299604245367872,0.8289260658391797,0.8282778314932656,0.8271985249477211,0.8314707800238347,0.8283677737053943,0.8300991612888718,0.8256020506824365,0.8289463684652766,0.0016200110063249553
325.09112985134124,5.846589577876973,1.8012629985809325,0.1334802713194245,10,log2,3000,"{'max_depth': 10, 'max_features': 'log2', 'n_estimators': 3000}",0.7377579927154998,0.7828814245244841,0.7624443545123432,0.7414002428166734,0.7611819469742968,0.777980165958308,0.7051204209674155,0.7668488160291439,0.7540983606557377,0.7887067395264117,0.7578420464680314,0.02359213589659248,10,0.8299829105954308,0.8286112610181687,0.8309048389998202,0.8291734124842598,0.8278955770917186,0.826681357227981,0.830751242326805,0.8282553459402334,0.8296269646751961,0.8258044206597261,0.828768733101934,0.0015831265458752654
